,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
351,Bomet,32,KE,1552880520,93,-0.78,35.34,10.47,2.6
352,Fayetteville,1,US,1552880265,52,36.06,-94.16,10.0,1.4
353,Dunedin,92,NZ,1552880317,75,-45.87,170.5,18.33,4.02
354,Tezu,80,IN,1552880520,63,27.93,96.16,15.87,0.1
355,Kaitangata,8,NZ,1552880521,74,-46.28,169.85,20.07,2.65
356,Zaragoza,0,ES,1552880421,68,41.65,-0.88,7.0,12.3
357,Nuevo Progreso,90,US,1552880478,51,26.05,-97.95,15.0,2.95
358,Cehegin,0,ES,1552880293,54,38.09,-1.8,13.89,1.55
359,Mana,0,RS,1552878000,70,43.52,20.24,9.0,0.5
360,Werda,40,DE,1552880502,80,50.44,12.3,3.33,3.6
361,Pitimbu,20,BR,1552878000,94,-7.47,-34.81,26.0,1.0
362,Gboko,8,NG,1552880522,92,7.32,9.0,24.37,3.1
363,Vangaindrano,32,MG,1552880523,89,-23.35,47.6,22.37,1.05
364,Cayenne,0,GF,1552878000,94,4.94,-52.33,22.0,3.3
365,Buala,88,SB,1552880523,80,-8.15,159.59,30.72,2.2
366,Byron Bay,75,AU,1552880428,100,-28.65,153.62,29.44,5.1
367,Saint-Augustin,75,FR,1552880349,93,44.83,-0.61,5.0,2.1
368,Synya,92,RU,1552880524,90,65.37,58.04,-3.73,3.8
